date,pred,lower_50,upper_50,lower_80,upper_80,lower_90,upper_90,lower_95,upper_95
2026-10-04,6,3,11,2,19,1,27,1,35
2026-10-11,6,3,11,2,20,1,27,1,36
2026-10-18,6,3,12,2,20,1,27,1,36
2026-10-25,6,3,12,2,20,1,28,1,37
2026-11-01,7,4,12,2,21,1,29,1,38
2026-11-08,7,4,12,2,21,1,29,1,39
2026-11-15,7,4,13,2,22,2,30,1,40
2026-11-22,7,4,13,2,22,2,31,1,41
2026-11-29,7,4,14,2,24,2,33,1,43
2026-12-06,8,4,14,2,25,2,34,1,46
2026-12-13,8,4,15,3,26,2,36,1,48
2026-12-20,9,5,16,3,28,2,39,2,52
2026-12-27,9,5,18,3,30,2,42,2,57
2027-01-03,10,6,19,3,34,2,47,2,62
2027-01-10,11,6,21,4,37,3,51,2,69
2027-01-17,12,7,23,4,40,3,56,2,76
2027-01-24,14,7,25,4,44,3,62,2,83
2027-01-31,15,8,28,5,48,3,68,3,91
2027-02-07,16,9,30,5,52,4,73,3,98
2027-02-14,17,9,32,5,56,4,78,3,105
2027-02-21,18,10,34,6,59,4,82,3,110
2027-02-28,18,10,34,6,60,4,84,3,113
2027-03-07,19,10,35,6,60,4,85,3,114
2027-03-14,19,10,35,6,61,4,85,3,114
2027-03-21,18,10,34,6,59,4,83,3,111
2027-03-28,17,9,32,5,56,4,79,3,106
2027-04-04,16,9,30,5,53,3,74,3,100
2027-04-11,15,8,28,5,49,3,69,2,92
2027-04-18,14,7,26,4,45,3,63,2,85
2027-04-25,12,7,23,4,41,3,57,2,76
2027-05-02,11,6,21,3,36,2,51,2,69
2027-05-09,10,5,19,3,33,2,46,2,62
2027-05-16,9,5,17,3,30,2,42,1,57
2027-05-23,8,4,16,2,28,2,39,1,52
2027-05-30,8,4,14,2,26,2,36,1,48
2027-06-06,7,4,13,2,24,1,34,1,45
2027-06-13,7,3,13,2,23,1,32,1,43
2027-06-20,6,3,12,2,22,1,31,1,41
2027-06-27,6,3,12,2,21,1,30,1,40
2027-07-04,6,3,11,2,20,1,29,1,39
2027-07-11,6,3,11,2,20,1,29,1,39
2027-07-18,6,3,11,2,20,1,28,1,38
2027-07-25,6,3,11,2,20,1,28,1,38
2027-08-01,6,3,11,2,20,1,28,1,39
2027-08-08,6,3,11,2,20,1,28,1,39
2027-08-15,6,3,11,2,20,1,29,1,39
2027-08-22,6,3,11,2,20,1,29,1,39
2027-08-29,6,3,11,2,20,1,29,1,39
2027-09-05,6,3,11,2,20,1,29,1,39
2027-09-12,6,3,11,2,20,1,29,1,39
2027-09-19,6,3,11,2,20,1,29,1,39
2027-09-26,6,3,11,2,20,1,29,1,40
2027-10-03,6,3,11,2,20,1,29,1,40
